task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
Language modeling (PTB),text sequence (PTB),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,next-token text,1D (t) (inferred),Capped (inferred)
Cloze word prediction (LAMBADA),paragraph with blank (text),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,missing word (text),1D (t) (inferred),Capped (inferred)
Ending selection (HellaSwag),story/instruction context + candidate endings (text),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,best ending choice (label),0D (inferred),Fixed (inferred)
Ending selection (StoryCloze),story context + candidate endings (text),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,correct ending choice (label),0D (inferred),Fixed (inferred)
Closed-book QA (Natural Questions),question (text),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,answer text,1D (t) (inferred),Capped (inferred)
Closed-book QA (WebQuestions),question (text),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,answer text,1D (t) (inferred),Capped (inferred)
Closed-book QA (TriviaQA),question (text),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,answer text,1D (t) (inferred),Capped (inferred)
Machine translation (Fr/De/Ro <-> En),source-language text,1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,translated text,1D (t) (inferred),Capped (inferred)
Coreference resolution (Winograd WSC273),sentence with ambiguous pronoun + candidate referents (text),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,correct referent choice (label),0D (inferred),Fixed (inferred)
Coreference resolution (Winogrande XL),sentence with ambiguous pronoun + candidate referents (text),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,correct referent choice (label),0D (inferred),Fixed (inferred)
Commonsense reasoning (PIQA),physical commonsense question + options (text),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,correct option (label),0D (inferred),Fixed (inferred)
Science QA (ARC Easy),science exam question + options (text),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,correct option (label),0D (inferred),Fixed (inferred)
Science QA (ARC Challenge),science exam question + options (text),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,correct option (label),0D (inferred),Fixed (inferred)
Science QA (OpenBookQA),science question + options (text),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,correct option (label),0D (inferred),Fixed (inferred)
Reading comprehension (CoQA),passage + conversational question (text),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,answer text,1D (t) (inferred),Capped (inferred)
Reading comprehension (DROP),passage + question (text),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,answer text/number,1D (t) (inferred),Capped (inferred)
Reading comprehension (QuAC),passage + dialog question (text),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,answer text,1D (t) (inferred),Capped (inferred)
