task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
"Image-to-text classification (contrastive pre-training)","Images and candidate texts (in-batch)","2D (x, y) (inferred); 1D (t) (inferred)","Capped (inferred)","Static (inferred)","Constructed (inferred)","Matched text class","0D (inferred)","Capped (inferred)"
"Text-to-image classification (contrastive pre-training)","Texts and candidate images (in-batch)","1D (t) (inferred); 2D (x, y) (inferred)","Capped (inferred)","Static (inferred)","Constructed (inferred)","Matched image class","0D (inferred)","Capped (inferred)"
"Image-to-text retrieval","Images","2D (x, y) (inferred)","Fixed (inferred)","Static (inferred)","Constructed (inferred)","Retrieved texts","1D (t) (inferred)","Capped (inferred)"
"Text-to-image retrieval","Texts","1D (t) (inferred)","Capped (inferred)","Static (inferred)","Constructed (inferred)","Retrieved images","2D (x, y) (inferred)","Capped (inferred)"
"Text-to-text retrieval","Text pairs or text queries","1D (t) (inferred)","Capped (inferred)","Static (inferred)","Constructed (inferred)","Retrieved texts","1D (t) (inferred)","Capped (inferred)"
"Image-to-image retrieval","Image pairs or image queries","2D (x, y) (inferred)","Fixed (inferred)","Static (inferred)","Constructed (inferred)","Retrieved images","2D (x, y) (inferred)","Capped (inferred)"
"Semantic textual similarity (STS)","Text pairs","1D (t) (inferred)","Capped (inferred)","Static (inferred)","Constructed (inferred)","Similarity score","0D (inferred)","Fixed (inferred)"
"Semantic image similarity (SIS)","Image pairs","2D (x, y) (inferred)","Fixed (inferred)","Static (inferred)","Constructed (inferred)","Similarity score","0D (inferred)","Fixed (inferred)"
"Semantic image-text similarity (SITS)","Image-text pairs","2D (x, y) (inferred); 1D (t) (inferred)","Capped (inferred)","Static (inferred)","Constructed (inferred)","Similarity score","0D (inferred)","Fixed (inferred)"
"Visual classification","Images; class-name texts (zero-shot setting)","2D (x, y) (inferred); 1D (t) (inferred)","Capped (inferred)","Static (inferred)","Constructed (inferred)","Class labels","0D (inferred)","Fixed (inferred)"
"Image retrieval with multimodal query (image+text)","Query image and text string","2D (x, y) (inferred); 1D (t) (inferred)","Capped (inferred)","Static (inferred)","Constructed (inferred)","Retrieved images","2D (x, y) (inferred)","Capped (inferred)"
"Word similarity estimation (SimLex-999)","Word pairs (wordpiece tokens)","1D (t) (inferred)","Capped (inferred)","Static (inferred)","Constructed (inferred)","Similarity score","0D (inferred)","Fixed (inferred)"
