task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
"language modeling / text generation","text tokens (inferred)","1D (t) (inferred)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","text tokens (inferred)","1D (t) (inferred)","Not specified in the paper."
"machine translation","source-language text (inferred)","1D (t) (inferred)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","translated text (inferred)","1D (t) (inferred)","Not specified in the paper."
"speech recognition","speech/audio (inferred)","1D (t) (inferred)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","text transcription (inferred)","1D (t) (inferred)","Not specified in the paper."
"image generation","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","images","2D (x, y) (inferred)","Not specified in the paper."
"video generation","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","video","3D (x, y, t) (inferred)","Not specified in the paper."
"math generation (inferred)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","math expressions/solutions (inferred)","1D (t) (inferred)","Not specified in the paper."
"audio generation (audition) (inferred)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","audio (inferred)","1D (t) (inferred)","Not specified in the paper."
"code generation / program synthesis","text prompts (inferred)","1D (t) (inferred)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","computer programs","1D (t) (inferred)","Not specified in the paper."
"arithmetic addition","3-digit numbers (inferred)","1D (t) (inferred)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","sum (inferred)","1D (t) (inferred)","Not specified in the paper."
"language understanding (MMLU)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","Not specified in the paper."
"recommendation / rating prediction","user demographics + movie rating history + target movie (text prompt)","1D (t) (inferred)","Capped","Not specified in the paper.","Not specified in the paper.","movie rating (1-5)","0D (inferred)","Fixed (inferred)"
"recidivism prediction","defendant attribute prompt (sex, age, charges, priors, juvenile counts, race optional)","1D (t) (inferred)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","Yes/No recidivism prediction","0D (inferred)","Fixed (inferred)"
"dialogue / role-play text generation","user prompts (inferred)","1D (t) (inferred)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","dialogue/role-play text (inferred)","1D (t) (inferred)","Not specified in the paper."
"open-ended text generation","text prompts/queries (inferred)","1D (t) (inferred)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","generated text (inferred)","1D (t) (inferred)","Not specified in the paper."
"poetry generation","prompt including modern and contemporary poems","1D (t) (inferred)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","imitation poems","1D (t) (inferred)","Not specified in the paper."
"toxic comment generation","text prompts (RealToxicityPrompts)","1D (t) (inferred)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","short comments / model responses","1D (t) (inferred)","Not specified in the paper."
