task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
bAbI question answering,English sentence sequences plus question,1D (t) (inferred),Capped (inferred),Static (inferred),Constructed (inferred),Answer token,0D (inferred),Fixed (inferred)
Subject-verb agreement prediction,English sentence token sequence,1D (t) (inferred),Capped (inferred),Static (inferred),Constructed (inferred),Verb-form prediction/ranking,0D (inferred),Fixed (inferred)
LAMBADA language modeling (target-word prediction),Narrative passage token sequence,1D (t) (inferred),Capped (inferred),Static (inferred),Constructed (inferred),Target word token,0D (inferred),Fixed (inferred)
LAMBADA reading comprehension (target-word selection),Context tokens plus target-sentence query tokens,1D (t) (inferred),Capped (inferred),Static (inferred),Constructed (inferred),Selected target word token,0D (inferred),Fixed (inferred)
Copy (algorithmic),Decimal-symbol string sequence,1D (t) (inferred),Capped (inferred),Static (inferred),Constructed (inferred),Copied decimal-symbol string sequence,1D (t) (inferred),Capped (inferred)
Reverse (algorithmic),Decimal-symbol string sequence,1D (t) (inferred),Capped (inferred),Static (inferred),Constructed (inferred),Reversed decimal-symbol string sequence,1D (t) (inferred),Capped (inferred)
Integer addition (algorithmic),Decimal-symbol string sequence,1D (t) (inferred),Capped (inferred),Static (inferred),Constructed (inferred),Sum as decimal-symbol string sequence,1D (t) (inferred),Capped (inferred)
Program evaluation (LTE: program),Program token sequence,1D (t) (inferred),Capped (inferred),Static (inferred),Constructed (inferred),Program evaluation result sequence,1D (t) (inferred),Capped (inferred)
Program evaluation (LTE: control),Program token sequence,1D (t) (inferred),Capped (inferred),Static (inferred),Constructed (inferred),Program evaluation result sequence,1D (t) (inferred),Capped (inferred)
Program evaluation (LTE: addition),Program token sequence,1D (t) (inferred),Capped (inferred),Static (inferred),Constructed (inferred),Program evaluation result sequence,1D (t) (inferred),Capped (inferred)
Copy (LTE memorization),Sequence of tokens/symbols,1D (t) (inferred),Capped (inferred),Static (inferred),Constructed (inferred),Copied sequence,1D (t) (inferred),Capped (inferred)
Double (LTE memorization),Sequence of tokens/symbols,1D (t) (inferred),Capped (inferred),Static (inferred),Constructed (inferred),Doubled sequence,1D (t) (inferred),Capped (inferred)
Reverse (LTE memorization),Sequence of tokens/symbols,1D (t) (inferred),Capped (inferred),Static (inferred),Constructed (inferred),Reversed sequence,1D (t) (inferred),Capped (inferred)
Machine translation (WMT14 En-De),English source-language token sequence,1D (t) (inferred),Capped (inferred),Static (inferred),Constructed (inferred),German target-language token sequence,1D (t) (inferred),Capped (inferred)
