task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
Image-text contrastive learning (ITC),image; text,"2D (x, y); 1D (t)",Not specified in the paper.,Static (inferred),Constructed (inferred),image-text similarity score / probability,0D,Not specified in the paper.
Masked language modeling (MLM),image; masked text,"2D (x, y); 1D (t)",Not specified in the paper.,Static (inferred),Constructed (inferred),masked word tokens,1D (t),Not specified in the paper.
Image-text matching (ITM),image; text,"2D (x, y); 1D (t)",Not specified in the paper.,Static (inferred),Constructed (inferred),match label (matched vs not matched),0D,Not specified in the paper.
Image-to-text retrieval,image,"2D (x, y)",Not specified in the paper.,Static (inferred),Constructed (inferred),text descriptions (ranked),1D (t),Not specified in the paper.
Text-to-image retrieval,text,1D (t),Not specified in the paper.,Static (inferred),Constructed (inferred),images (ranked),"2D (x, y)",Not specified in the paper.
Visual entailment (SNLI-VE),image; text,"2D (x, y); 1D (t)",Not specified in the paper.,Static (inferred),Constructed (inferred),entailment label (entailment/neutral/contradictory),0D,Not specified in the paper.
Visual question answering (VQA),image; question text,"2D (x, y); 1D (t)",Not specified in the paper.,Static (inferred),Constructed (inferred),answer text,1D (t),Not specified in the paper.
Natural language for visual reasoning (NLVR^2),image pair; text,"2D (x, y); 1D (t)",Not specified in the paper.,Static (inferred),Constructed (inferred),classification label (text describes pair or not),0D,Not specified in the paper.
Text-assignment (TA),image pair; text,"2D (x, y); 1D (t)",Not specified in the paper.,Static (inferred),Constructed (inferred),assignment label (first/second/none),0D,Not specified in the paper.
Visual grounding (weakly-supervised),image; textual description,"2D (x, y); 1D (t)",Not specified in the paper.,Static (inferred),Constructed (inferred),localized region / heatmap / ranked proposals,"2D (x, y)",Not specified in the paper.
