task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
"Masked language modeling (MLM)","Text tokens with masked positions + image regions","1D (t) (inferred); 2D (x, y) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","Masked word/token predictions","1D (t) (inferred)","Capped (inferred)"
"Masked region modeling (MRM)","Image regions with masked visual features + text tokens","1D (t) (inferred); 2D (x, y) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","Reconstructed masked regions (features/classes)","2D (x, y) (inferred)","Capped (inferred)"
"Image-text matching (ITM)","Sentence tokens + image regions","1D (t) (inferred); 2D (x, y) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","Match/non-match label","0D (inferred)","Fixed (inferred)"
"Word-region alignment (WRA)","Word tokens + image regions","1D (t) (inferred); 2D (x, y) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","Word-region transport plan / OT alignment score","2D (x, y) (inferred); 0D (inferred)","Capped (inferred)"
"Visual question answering (VQA)","Image + natural language question","2D (x, y) (inferred); 1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","Answer label","0D (inferred)","Fixed (inferred)"
"Visual commonsense reasoning (VCR)","Image + question/answer/rationale text choices","2D (x, y) (inferred); 1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","Selected answer/rationale class","0D (inferred)","Fixed (inferred)"
"Natural language visual reasoning (NLVR2)","Image pair + natural language statement","2D (x, y) (inferred); 1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","True/false label","0D (inferred)","Fixed (inferred)"
"Visual entailment (SNLI-VE)","Image + natural language statement","2D (x, y) (inferred); 1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","Entailment/Neutral/Contradiction label","0D (inferred)","Fixed (inferred)"
"Image-text retrieval","Image-text queries/candidates","2D (x, y) (inferred); 1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","Ranked retrieval results / similarity ranking","1D (t) (inferred)","Capped (inferred)"
"Referring expression comprehension","Query phrase/sentence + image region proposals","2D (x, y) (inferred); 1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","Selected target region proposal","2D (x, y) (inferred)","Capped (inferred)"
